name,number,status
Supporting Non-ASCII Identifiers,3131,Final
Access to Current Module/Class/Function,3130,Rejected
Extended Iterable Unpacking,3132,Final
BList: A Faster List-like Type,3128,Rejected
Introducing Roles,3133,Rejected
Making PyObject_HEAD conform to standard C,3123,Final
Remove Backslash Continuation,3125,Rejected
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Integer Literal Support and Syntax,3127,Final
Extension Module Initialization and Finalization,3121,Final
Remove Implicit String Concatenation,3126,Rejected
Delineation of the main module,3122,Rejected
Postfix type declarations,3117,Rejected
Revising the buffer protocol,3118,Final
Introducing Abstract Base Classes,3119,Final
Using UTF-8 as the default source encoding,3120,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
New I/O,3116,Final
Removal of Tuple Parameter Unpacking,3113,Final
Simple input built-in in Python 3000,3111,Final
Catching Exceptions in Python 3000,3110,Final
Metaclasses in Python 3000,3115,Final
Bytes literals in Python 3000,3112,Final
Standard Library Reorganization,3108,Final
Raising Exceptions in Python 3000,3109,Final
Keyword-Only Arguments,3102,Final
Function Annotations,3107,Final
Access to Names in Outer Scopes,3104,Final
Advanced String Formatting,3101,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
A Switch/Case Statement,3103,Rejected
Make print a function,3105,Final
Miscellaneous Python 3.0 Plans,3100,Final
Reserved,801,Active
IEEE 754 Floating Point Special Values,754,Rejected
Things that will Not Change in Python 3000,3099,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Procedure for reviewing and improving standard library modules,3001,Withdrawn
Python Language Moratorium,3003,Final
Python 3000,3000,Final
Unify type name formatting,737,Draft
Dependency Groups in pyproject.toml,735,Draft
Multiple Interpreters in the Stdlib,734,Draft
The Python Documentation Editorial Board,732,Draft
C API Working Group Charter,731,Active
Typing governance process,729,Active
Adding iOS as a supported platform,730,Draft
Documentation in Annotated Metadata,727,Draft
An Evaluation of Python’s Public C API,733,Draft
Module,726,Draft
Specifying external dependencies in pyproject.toml,725,Draft
Stricter Type Guards,724,Draft
Python 3.13 Release Schedule,719,Active
Using tarfile.data_filter for source distribution extraction,721,Final
Cross-compiling Python packages,720,Draft
Subscriptable functions,718,Draft
Dependency specification for single-file scripts,722,Rejected
Disabling bdist_egg distribution uploads on PyPI,715,Final
Rename dist-info-metadata in the Simple API,714,Accepted
Inline script metadata,723,Provisional
Adding a “converter” parameter to dataclasses.field,712,Draft
Callable Modules,713,Rejected
Recording the provenance of installed packages,710,Draft
PyBI: a standard format for distributing Python Binaries,711,Draft
Inlined comprehensions,709,Accepted
A simplified signature for __exit__ and __aexit__,707,Rejected
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
TypedDict: Read-only items,705,Draft
Filter for tarfile.extractall,706,Final
Require virtual environments by default for package installers,704,Withdrawn
Additional Fields for the Simple API for Package Indexes,700,Accepted
Marking deprecations using the type system,702,Accepted
Syntactic formalization of f-strings,701,Accepted
Making the Global Interpreter Lock Optional in CPython,703,Accepted
Remove private dict version field added in PEP 509,699,Accepted
Override Decorator for Static Typing,698,Accepted
Using TypedDict for more precise **kwargs typing,692,Accepted
Python 3.12 Release Schedule,693,Active
Limited C API for Extending Opaque Types,697,Final
Type defaults for TypeVarLikes,696,Draft
Upload 2.0 API for Python Package Repositories,694,Draft
Type Parameter Syntax,695,Accepted
JSON-based Simple API for Python Package Indexes,691,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
Unstable C API tier,689,Final
Make UTF-8 mode default,686,Accepted
Making the buffer protocol accessible in Python,688,Accepted
Isolating modules in the standard library,687,Accepted
Lazy Imports,690,Rejected
Format Specifier for Signed Zero,682,Final
"Immortal Objects, Using a Fixed Refcount",683,Accepted
A Per-Interpreter GIL,684,Accepted
Allow parentheses in assert statements,679,Draft
Data Class Transforms,681,Accepted
Enriching Exceptions with Notes,678,Final
tomllib: Support for Parsing TOML in the Standard Library,680,Final
Callable Type Syntax,677,Rejected
PEP Infrastructure Process,676,Active
Disallow using macros as l-values,674,Deferred
Unicode-related Security Considerations for Python,672,Active
Self Type,673,Accepted
Arbitrary Literal String Type,675,Accepted
Syntax for late-bound function argument defaults,671,Draft
Reject Foolish Indentation,666,Rejected
Low Impact Monitoring for CPython,669,Accepted
Python 3.11 Release Schedule,664,Active
Convert macros to functions in the Python C API,670,Final
Consistent views of namespaces,667,Draft
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Editable installs via virtual wheels,662,Rejected
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Sentinel Values,661,Draft
Editable installs for pyproject.toml based builds (wheel based),660,Final
Specializing Adaptive Interpreter,659,Draft
Platform Tag for Linux Distributions Using Musl,656,Final
Marking individual TypedDict items as required or potentially-missing,655,Accepted
Include Fine Grained Error Locations in Tracebacks,657,Final
Marking Python base environments as “externally managed”,668,Accepted
Maintaining the Stable ABI,652,Final
Precise Semantics for Pattern Matching,653,Draft
Robust Stack Overflow Handling,651,Rejected
Exception Groups and except*,654,Final
User-Defined Type Guards,647,Accepted
Specifying Installer Requirements for Python Projects,650,Withdrawn
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Extensible customizations of the interpreter at startup,648,Rejected
Allow writing optional types as,645,Withdrawn
Metadata for Package Source Distributions,643,Final
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Unused variable syntax,640,Rejected
Variadic Generics,646,Accepted
Require OpenSSL 1.1.1 or newer,644,Final
Syntactic Macros,638,Draft
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Structural Pattern Matching: Tutorial,636,Final
Support for indexing with keyword arguments,637,Rejected
Structural Pattern Matching: Specification,634,Final
Deprecate distutils module,632,Final
Structural Pattern Matching: Motivation and Rationale,635,Final
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Add,628,Final
Versioning PyPI’s Simple API,629,Final
Isolating Extension Modules,630,Final
Improving License Clarity with Better Package Metadata,639,Draft
Recording installed projects,627,Final
Filename of a Source Distribution,625,Accepted
Remove Py_UNICODE encoder APIs,624,Final
Precise line numbers for debugging and other tools.,626,Final
Remove wstr from Unicode,623,Final
Hide implementation details from the C API,620,Withdrawn
Storing project metadata in pyproject.toml,621,Final
Python 3.10 Release Schedule,619,Active
New PEG parser for CPython,617,Accepted
String methods to remove prefixes and suffixes,616,Final
Add Optional Length-Checking To zip,618,Final
Support for the IANA Time Zone Database in the Standard Library,615,Accepted
Structural Pattern Matching,622,Superseded
Relaxing Grammar Restrictions On Decorators,614,Final
Explicit Type Aliases,613,Accepted
The one million limit,611,Withdrawn
Parameter Specification Variables,612,Accepted
Recording the Direct URL Origin of installed distributions,610,Final
Python Packaging Authority (PyPA) Governance,609,Active
Coordinated Python release,608,Rejected
Allow writing union types as,604,Accepted
Reducing CPython’s Feature Delivery Latency,607,Final
Python Compatibility Version,606,Rejected
Annual Release Cycle for Python,602,Accepted
Adding a frozenmap type to collections,603,Draft
Forbid return/break/continue breaking out of finally,601,Rejected
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
The manylinux2014 Platform Tag,599,Superseded
A rolling feature release stream for CPython,605,Rejected
Python 3.9 Release Schedule,596,Active
Flexible function and variable annotations,593,Accepted
Introducing incremental feature releases,598,Withdrawn
Improving bugs.python.org,595,Withdrawn
Adding “Yank” Support to the Simple API,592,Final
Add optional EncodingWarning,597,Final
Adding a final qualifier to typing,591,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
Removing dead batteries from the standard library,594,Final
GitHub Issues Migration Plan,588,Draft
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Accepted
Literal Types,586,Accepted
Type Hinting Generics In Standard Collections,585,Final
Python local packages directory,582,Rejected
Add Union Operators To dict,584,Final
A Concurrency Memory Model for Python,583,Withdrawn
Using GitHub Issues for CPython,581,Accepted
Python Initialization Configuration,587,Final
Refactoring C functions and methods,579,Final
The C call protocol,580,Rejected
Rationalize Built-in function classes,576,Withdrawn
Python Runtime Audit Hooks,578,Accepted
Pickle protocol 5 with out-of-band data,574,Final
Module State Access from C Extension Methods,573,Final
Unifying function/method classes,575,Withdrawn
Python 3.8 Release Schedule,569,Active
Augmented Assignment Expressions,577,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Assignment Expressions,572,Final
Python Positional-Only Parameters,570,Final
Generator-sensitivity for Context Variables,568,Deferred
Show DeprecationWarning in __main__,565,Final
Metadata for Python Software Packages 2.1,566,Final
Context Variables,567,Final
Add new time functions with nanosecond resolution,564,Final
Postponed Evaluation of Annotations,563,Accepted
Module __getattr__ and __dir__,562,Final
Distributing and Packaging Type Information,561,Final
Core support for typing module and generic types,560,Accepted
Built-in noop(),559,Rejected
Context-local variables (contextvars),555,Withdrawn
Threaded garbage collection,556,Deferred
Built-in breakpoint(),553,Final
Deterministic pycs,552,Final
Data Classes,557,Final
Defined semantics for locals(),558,Deferred
Multiple Interpreters in the Stdlib,554,Superseded
Instance Descriptors,549,Rejected
More Flexible Loop Control,548,Rejected
Security transparency in the Python runtime,551,Withdrawn
Running extension modules using the -m option,547,Deferred
Execution Context,550,Withdrawn
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Python Documentation Translations,545,Final
Protocols: Structural subtyping (static duck typing),544,Accepted
Dot Notation Assignment In Function Header,542,Rejected
Add a new UTF-8 Mode,540,Final
Package Index Name Retention,541,Final
Python 3.7 Release Schedule,537,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Final Grammar for Literal String Interpolation,536,Withdrawn
A Unified TLS API for Python,543,Withdrawn
Improved Errors for Missing Standard Library Modules,534,Deferred
Rich comparison chaining,535,Deferred
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Asynchronous Comprehensions,530,Final
Existence checking operators,531,Withdrawn
Deterministic cleanup for iterators,533,Deferred
A circuit breaking protocol and binary operators,532,Deferred
Removing Un(der)used file types/extensions on PyPI,527,Final
Change Windows filesystem encoding to UTF-8,529,Final
Change Windows console encoding to UTF-8,528,Final
Syntax for Variable Annotations,526,Final
Asynchronous Generators,525,Final
Make os.urandom() blocking on Linux,524,Final
Adding a frame evaluation API to CPython,523,Final
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Preserving Class Attribute Definition Order,520,Final
Adding a file system path protocol,519,Final
Specifying Minimum Build System Requirements for Python Projects,518,Final
Build system abstraction for pip/conda etc,516,Rejected
A build-system independent format for source trees,517,Final
Underscores in Numeric Literals,515,Final
Python registration in the Windows registry,514,Active
Specialize functions with guards,510,Rejected
Dependency specification for Python Software Packages,508,Final
Add a private version to dict,509,Superseded
A Platform Tag for Portable Linux Built Distributions,513,Superseded
API for code transformers,511,Rejected
Migrating from hg.python.org to GitHub,512,Final
Migrate CPython to Git and GitLab,507,Rejected
Adding A Secrets Module To The Standard Library,506,Final
Simple Repository API,503,Final
Using the System RNG by default,504,Withdrawn
None-aware operators,505,Deferred
String Interpolation - Extended Discussion,502,Rejected
General purpose string interpolation,501,Deferred
A standard mechanism for backward compatibility,497,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
,499,Deferred
Literal String Interpolation,498,Final
Environment Markers,496,Rejected
Python 3.6 Release Schedule,494,Final
Coroutines with async and await syntax,492,Final
HTTPS verification migration tools for Python 2.7,493,Final
Local Time Disambiguation,495,Final
Elimination of PYO files,488,Final
Chain exceptions at C level,490,Rejected
Multi-phase extension module initialization,489,Final
The Wheel Binary Package Format 1.9,491,Deferred
Simpler customisation of class creation,487,Final
Make the Python Launcher aware of virtual environments,486,Final
Literature Overview for Type Hints,482,Final
A Function for testing approximate equality,485,Final
The Theory of Type Hints,483,Final
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
Change StopIteration handling inside generators,479,Final
Python 3.5 Release Schedule,478,Final
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Retry system calls failing with EINTR,475,Final
Type Hints,484,Final
Creating forge.python.org,474,Withdrawn
Enabling certificate verification by default for stdlib http clients,476,Final
Adding structured data to built-in exceptions,473,Rejected
Migration of dict iteration code to Python 3,469,Withdrawn
os.scandir() function – a better and faster directory iterator,471,Final
Support for indexing with keyword arguments,472,Rejected
Minor API improvements for binary sequences,467,Draft
Preserving the order of **kwargs in a function.,468,Final
Removal of the PyPI Mirror Authenticity API,464,Final
Removing External Hosting Support on PyPI,470,Final
Network Security Enhancements for Python 2.7.x,466,Final
Exception-catching expressions,463,Rejected
Core development workflow automation for CPython,462,Withdrawn
Adding % formatting to bytes and bytearray,461,Final
A dedicated infix operator for matrix multiplication,465,Final
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Notation For Positional-Only Parameters,457,Final
Secure and interchangeable hash algorithm,456,Final
Adding a key-transforming dictionary to collections,455,Rejected
Add a new tracemalloc module to trace Python memory allocations,454,Final
API for Cryptographic Hash Functions v2.0,452,Final
Explicit bootstrapping of pip in Python installations,453,Final
A ModuleSpec Type for the Import System,451,Final
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Adding A Statistics Module To The Standard Library,450,Final
Secure PyPI downloads with signed repository metadata,458,Accepted
Additional Unpacking Generalizations,448,Final
Add __getdescriptor__ method to metaclass,447,Deferred
Make newly created file descriptors non-inheritable,446,Final
Add new APIs to customize Python memory allocators,445,Final
Safe object finalization,442,Final
Single-dispatch generic functions,443,Final
Improving Python ZIP Application Support,441,Final
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Transitioning to release-file hosting on PyPI,438,Superseded
Python Web3 Interface,444,Deferred
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Adding an Enum type to the Python standard library,435,Final
The Argument Clinic DSL,436,Final
IDLE Enhancement Exception for All Branches,434,Active
Easier suppression of file descriptor inheritance,433,Superseded
Version Identification and Dependency Specification,440,Final
Migrating to Python 3 as the default online documentation,430,Final
Time zone support improvements,431,Superseded
Restructuring the CPython startup sequence,432,Withdrawn
Python 3.4 Release Schedule,429,Final
The pathlib module – object-oriented filesystem paths,428,Final
Compatibility Tags for Built Distributions,425,Final
A method for exposing a length hint,424,Final
The Wheel Binary Package Format 1.0,427,Final
Naming conventions and recipes related to packaging,423,Deferred
Metadata for Python Software Packages 2.0,426,Withdrawn
Simpler customisation of class creation,422,Withdrawn
Adding sys.implementation,421,Final
Including mock in the Standard Library,417,Final
Protecting cleanup statements from interruptions,419,Deferred
Implement context suppression with exception attributes,415,Final
Implicit Namespace Packages,420,Final
Add a frozendict builtin type,416,Rejected
"Add monotonic time, performance counter, and process time functions",418,Final
Explicit Unicode Literal for Python 3.3,414,Final
Faster evolution of the Python Standard Library,413,Withdrawn
Provisional packages in the Python standard library,411,Superseded
Suppressing exception context,409,Final
Use decimal.Decimal type for timestamps,410,Rejected
Key-Sharing Dictionary,412,Final
Standard library __preview__ package,408,Rejected
New release cycle and introducing long-term support versions,407,Deferred
Improved Encapsulation of Import State,406,Withdrawn
Python 2.8 Un-release Schedule,404,Final
Python Virtual Environments,405,Final
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
General purpose decorator clause (aka “@in” clause),403,Deferred
BDFL Retirement,401,April Fool!
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
Simplified Package Layout and Partitioning,402,Rejected
Module Version Numbers,396,Rejected
Python launcher for Windows,397,Final
Python 3.3 Release Schedule,398,Final
The “python” Command on Unix-Like Systems,394,Active
Qualified Names for Modules,395,Withdrawn
Python 3.2 Release Schedule,392,Final
Flexible String Representation,393,Final
Dictionary-Based Configuration For Logging,391,Final
Backwards Compatibility Policy,387,Active
argparse - New Command Line Parsing Module,389,Final
Static metadata for Distutils,390,Rejected
Migrating from Subversion to Mercurial,385,Final
Namespace Packages,382,Rejected
Changing the version comparison module in Distutils,386,Superseded
Defining a Stable ABI,384,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Syntax for Delegating to a Subgenerator,380,Final
Mirroring infrastructure for PyPI,381,Withdrawn
Adding an Assignment Expression,379,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Format Specifier for Thousands Separator,378,Final
Python 3.1 Release Schedule,375,Final
Database of Installed Python Distributions,376,Final
Python 2.7 Release Schedule,373,Final
Choosing a distributed VCS for the Python project,374,Final
Post import hooks,369,Withdrawn
Adding an ordered dictionary to collections,372,Final
Addition of the multiprocessing package to the standard library,371,Final
Per user site-packages directory,370,Final
Standard image protocol and class,368,Deferred
New Super,367,Superseded
Main module explicit relative imports,366,Final
Transitioning to the Py3K Standard Library,364,Withdrawn
Python 2.6 and 3.0 Release Schedule,361,Final
Syntax For Dynamic Attribute Access,363,Rejected
Adding the pkg_resources module,365,Rejected
Function Signature Object,362,Final
Externally Maintained Packages,360,Final
The “make” Statement,359,Withdrawn
Python 2.5 Release Schedule,356,Final
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Path - Object oriented filesystem paths,355,Rejected
Enumerations in Python,354,Superseded
Using ssize_t as the index type,353,Final
Required Superclass for Exceptions,352,Final
Codetags,350,Rejected
The freeze protocol,351,Rejected
Allow str() to return unicode strings,349,Rejected
Exception Reorganization for Python 3.0,348,Rejected
Migrating the Python CVS to Subversion,347,Final
Exception Chaining and Embedded Tracebacks,344,Superseded
Metadata for Python Software Packages 1.2,345,Superseded
User Defined (”,346,Withdrawn
The “with” Statement,343,Final
Anonymous Block Statements,340,Rejected
Unifying try-except and try-finally,341,Final
Logging Usage in the Standard Library,337,Deferred
Executing modules as scripts,338,Final
Design of the CPython Compiler,339,Withdrawn
Overloadable Boolean Operators,335,Rejected
Coroutines via Enhanced Generators,342,Final
Make None Callable,336,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Locale-Independent Float/String Conversions,331,Final
Byte vectors and String/Unicode Unification,332,Rejected
Python Bytecode Verification,330,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Resource-Release Support for Generators,325,Rejected
Imports: Multi-Line and Absolute/Relative,328,Final
Decimal Data Type,327,Final
A Case for Top and Bottom Values,326,Rejected
subprocess - New process module,324,Final
Copyable Iterators,323,Deferred
Python Web Server Gateway Interface v1.0,333,Final
Date/Time Parsing and Formatting,321,Withdrawn
Eliminate Implicit Exception Instantiation,317,Rejected
Python Synchronize/Asynchronize Block,319,Rejected
Enhanced While Loop,315,Rejected
Programming by Contract for Python,316,Deferred
Python 2.4 Release Schedule,320,Final
Metadata for Python Software Packages 1.1,314,Superseded
Decorators for Functions and Methods,318,Final
Simple Implicit Lambda,312,Deferred
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Reliable Acquisition/Release Pairs,310,Rejected
Adding Roman Numeral Literals to Python,313,Rejected
Conditional Expressions,308,Final
Partial Function Application,309,Final
How to Change Python’s Grammar,306,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
Extensions to the pickle protocol,307,Final
CSV File API,305,Final
New Import Hooks,302,Final
Controlling Generation of Bytecode Files,304,Withdrawn
Package Index and Metadata for Distutils,301,Final
Special __main__() function in modules,299,Rejected
Support for System Upgrades,297,Rejected
Type Names in the types Module,294,Rejected
The Locked Buffer Interface,298,Withdrawn
Adding a bytes Object Type,296,Withdrawn
Interpretation of multiline string constants,295,Rejected
Simpler String Substitutions,292,Final
Backward Compatibility for the Python 2 Standard Library,291,Final
Codec Error Handling Callbacks,293,Final
Code Migration and Modernization,290,Active
Enhanced Argument Tuples,286,Deferred
Generators Attributes and Exceptions,288,Withdrawn
Generator Expressions,289,Final
reStructuredText Docstring Format,287,Active
Loop Counter Iteration with range and xrange,281,Rejected
Python 2.3 Release Schedule,283,Final
Adding a bool type,285,Final
A Logging System,282,Final
Integer for-loops,284,Rejected
Optimizing access to globals,280,Deferred
The enumerate() built-in function,279,Final
Universal Newline Support,278,Final
Unicode file name support for Windows NT,277,Final
API for Block Encryption Algorithms v1.0,272,Final
Switching on Multiple Values,275,Rejected
Simple Iterator for ints,276,Rejected
Import Modules from Zip Archives,273,Final
Prefixing sys.path by command line option,271,Rejected
Dict Comprehensions,274,Final
Optimized Access to Module Namespaces,267,Deferred
Pgen Module for Python,269,Deferred
uniq method for list objects,270,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
Sorting Dictionaries by Value,265,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
Future statements in simulated shells,264,Final
Defining Python Source Code Encodings,263,Final
A Database of Installed Python Packages,262,Rejected
Support for “wide” Unicode characters,261,Final
Simplify xrange(),260,Final
Omit printing newline after newline,259,Rejected
Docutils Design Specification,258,Rejected
Docstring Processing System Framework,256,Rejected
Docstring Conventions,257,Active
Simple Generators,255,Final
Making Classes Look More Like Types,254,Rejected
Python 2.2 Release Schedule,251,Final
Using site-packages on Windows,250,Final
Making Types Look More Like Classes,252,Final
Subtyping Built-in Types,253,Final
Python Database API Specification v1.0,248,Final
API for Cryptographic Hash Functions,247,Final
Object Adaptation,246,Rejected
The,244,Rejected
Numeric Kinds,242,Rejected
Module Repository Upload Mechanism,243,Withdrawn
Python Interface Syntax,245,Rejected
Metadata for Python Software Packages,241,Superseded
Adding a Rational Literal to Python,240,Rejected
Python Database API Specification v2.0,249,Final
Adding a Rational Type to Python,239,Rejected
Unifying Long Integers and Integers,237,Final
Changing the Division Operator,238,Final
Import on Case-Insensitive Platforms,235,Final
Back to the __future__,236,Final
Python Online Help,233,Deferred
Iterators,234,Final
Function Attributes,232,Final
Warning Framework,230,Final
Using Distutils to Build Python,229,Final
Reworking Python’s Numeric Model,228,Withdrawn
__findattr__(),231,Rejected
Python 2.1 Release Schedule,226,Final
Decoupling the Interpreter Loop,210,Rejected
Statically Nested Scopes,227,Final
Multi-dimensional Arrays,209,Withdrawn
Reworking the Coercion Model,208,Final
Python Advanced Library,206,Withdrawn
Rich Comparisons,207,Final
Range Literals,204,Rejected
Python 1.6 Release Schedule,160,Final
Augmented Assignments,203,Final
List Comprehensions,202,Final
Lockstep Iteration,201,Final
Weak References,205,Final
Python 2.0 Release Schedule,200,Final
The Zen of Python,20,Active
Doing Python Micro Releases,102,Superseded
Collecting information about git,103,Withdrawn
Python Language Governance,13,Active
Feature Requests,42,Withdrawn
Python Unicode Integration,100,Final
Doing Python Releases 101,101,Active
Sample reStructuredText PEP Template,12,Active
CPython platform support,11,Active
Voting Guidelines,10,Active
Sample Plaintext PEP Template,9,Withdrawn
Style Guide for C Code,7,Active
Guidelines for Language Evolution,5,Superseded
Bug Fix Releases,6,Superseded
Guidelines for Handling Bug Reports,3,Withdrawn
Deprecation of Standard Modules,4,Active
Procedure for Adding New Modules,2,Active
Style Guide for Python Code,8,Active
Reverse Iteration,322,Final
